accessed_at,bpom_regulation,btp_name_raw,confidence_level,dataset,functional_category,ins_number,record_id,source_url,verification_status
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Monokalium fosfat (Monopotassium,high,btp_regulation,Garam Pengemulsi,340(i),bpom-btp-11,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Tetrakalium difosfat (Tetrapotassium,high,btp_regulation,Garam Pengemulsi,450(v),bpom-btp-12,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium tripolifosfat (Sodium,high,btp_regulation,Garam Pengemulsi,451(i),bpom-btp-13,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium tripolifosfat (Potassium,high,btp_regulation,Garam Pengemulsi,451(ii),bpom-btp-14,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Ester asam lemak dan diasetiltartrat dari gliserol (Diacetyltartaric and fatty acid 472e esters of glycerol) 25. Natrium glukonat (Sodium gluconate),high,btp_regulation,Garam Pengemulsi,576,bpom-btp-15,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Lilin mikrokristalin (Microcrystalline wax) 905c(i) 6. Pullulan (Pullulan) 1,high,btp_regulation,Pelapis,204,bpom-btp-16,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Sorbitol Sirup (Sorbitol syrup),high,btp_regulation,Pemanis,420(ii),bpom-btp-17,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Maltitol sirup (Maltitol syrup),high,btp_regulation,Pemanis,965(ii),bpom-btp-18,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalsium siklamat (Calcium cyclamate),high,btp_regulation,Pemanis,952(ii),bpom-btp-19,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium siklamat (Sodium cyclamate),high,btp_regulation,Pemanis,952(iv),bpom-btp-20,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalsium sakarin (Calcium saccharin),high,btp_regulation,Pemanis,954(ii),bpom-btp-21,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium sakarin (Potassium saccharin),high,btp_regulation,Pemanis,954(iii),bpom-btp-22,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium sakarin (Sodium saccharin),high,btp_regulation,Pemanis,954(iv),bpom-btp-23,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Sukrosa asetat isobutirat (Sucrose acetate,high,btp_regulation,Pembawa,444,bpom-btp-24,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Selulosa mikrokristalin (Microcrystalline,high,btp_regulation,Pembuih,460(i),bpom-btp-25,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Asam sitrat (Citric acid),high,btp_regulation,Pengatur Keasaman,330,bpom-btp-26,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Dinatrium monohidrogen sitrat (Disodium,high,btp_regulation,Pengatur Keasaman,331(ii),bpom-btp-27,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Trinatrium sitrat (Trisodium citrate),high,btp_regulation,Pengatur Keasaman,331(iii),bpom-btp-28,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Trikalium sitrat (Tripotassium citrate),high,btp_regulation,Pengatur Keasaman,332(ii),bpom-btp-29,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Trikalsium sitrat (Tricalcium citrate),high,btp_regulation,Pengatur Keasaman,333(iii),bpom-btp-30,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium hidrogen malat (Sodium hydrogen,high,btp_regulation,Pengatur Keasaman,350(i),bpom-btp-31,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Asam adipat (Adipic acid),high,btp_regulation,Pengatur Keasaman,355,bpom-btp-32,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium adipat (Sodium adipates),high,btp_regulation,Pengatur Keasaman,356,bpom-btp-33,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium adipat (Potassium adipate),high,btp_regulation,Pengatur Keasaman,357,bpom-btp-34,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Asam sorbat dan garamnya (Sorbic acid and its salts): Asam sorbat (Sorbic acid),high,btp_regulation,Pengawet,200,bpom-btp-35,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium sorbat (Sodium sorbate),high,btp_regulation,Pengawet,201,bpom-btp-36,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium sorbat (Potassium sorbate),high,btp_regulation,Pengawet,202,bpom-btp-37,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalsium sorbat (Calcium sorbate),high,btp_regulation,Pengawet,203,bpom-btp-38,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Asam benzoat dan garamnya (Benzoic acid and its salts): Asam benzoat (Benzoic acid),high,btp_regulation,Pengawet,210,bpom-btp-39,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium benzoat (Sodium benzoate),high,btp_regulation,Pengawet,211,bpom-btp-40,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium benzoat (Potassium benzoate),high,btp_regulation,Pengawet,212,bpom-btp-41,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalsium benzoat (Calcium benzoate ),high,btp_regulation,Pengawet,213,bpom-btp-42,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Etil para-hidroksibenzoat (Ethyl para-,high,btp_regulation,Pengawet,214,bpom-btp-43,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Metil para-hidroksibenzoat (Methyl para,high,btp_regulation,Pengawet,218,bpom-btp-44,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Sulfit (Sulphites): Belerang dioksida (Sulphur dioxide),high,btp_regulation,Pengawet,220,bpom-btp-45,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium sulfit (Sodium sulphite ),high,btp_regulation,Pengawet,221,bpom-btp-46,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium bisulfit (Sodium bisulphate),high,btp_regulation,Pengawet,222,bpom-btp-47,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium sulfit (Potassium sulphite),high,btp_regulation,Pengawet,225,bpom-btp-48,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalsium bisulfit (Calcium bisulphite),high,btp_regulation,Pengawet,227,bpom-btp-49,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium bisulfit (Potassium bisulphite),high,btp_regulation,Pengawet,228,bpom-btp-50,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Nitrit (Nitrites): Kalium nitrit (Potassium nitrite),high,btp_regulation,Pengawet,249,bpom-btp-51,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium nitrit (Sodium nitrite),high,btp_regulation,Pengawet,250,bpom-btp-52,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Nitrat (Nitrates): Natrium nitrat (Sodium nitrate),high,btp_regulation,Pengawet,251,bpom-btp-53,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium nitrat (Potassium nitrate),high,btp_regulation,Pengawet,252,bpom-btp-54,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Asam propionat (Propionic acid),high,btp_regulation,Pengawet,280,bpom-btp-55,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalsium propionate (Calcium propionate),high,btp_regulation,Pengawet,282,bpom-btp-56,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium propionate (Potassium propionate),high,btp_regulation,Pengawet,283,bpom-btp-57,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium dihidrogen sitrat (Sodium,high,btp_regulation,Pengemulsi,331(i),bpom-btp-58,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Dinatrium monohidrogen sitrat (Disodium,high,btp_regulation,Pengemulsi,331(ii),bpom-btp-59,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Kalium dihidrogen sitrat (Potassium,high,btp_regulation,Pengemulsi,332(i),bpom-btp-60,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Mononatrium fosfat (Monosodium,high,btp_regulation,Pengemulsi,339(i),bpom-btp-61,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Monokalium fosfat (Monopotassium,high,btp_regulation,Pengemulsi,340(i),bpom-btp-62,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Polisorbat (Polysorbates): Polisorbat 20 (Polyoxyethylene (20) sorbitan,high,btp_regulation,Pengemulsi,432,bpom-btp-63,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Tetrakalium difosfat (Tetrapotassium,high,btp_regulation,Pengemulsi,450(v),bpom-btp-64,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium kalsium polifosfat (Sodium calcium,high,btp_regulation,Pengemulsi,452(iii),bpom-btp-65,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Hidroksipropil metil selulosa,high,btp_regulation,Pengemulsi,464,bpom-btp-66,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Natrium karboksimetil selulosa (Sodium,high,btp_regulation,Pengemulsi,466,bpom-btp-67,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,"Asam miristat, palmitat dan stearat dan garamnya(kalsium, kalium, dan natrium (Ca, K, Na)) (Myristic, palmitic & stearic",high,btp_regulation,Pengemulsi,470(i),bpom-btp-68,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,"Garam-garam dari asam oleat dengan kalsium, kalium dan natrium (Ca, K, Na)",high,btp_regulation,Pengemulsi,470(ii),bpom-btp-69,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Mono dan digliserida asam lemak (Mono-,high,btp_regulation,Pengemulsi,471,bpom-btp-70,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Ester sukrosa asam lemak (Sucrose esters,high,btp_regulation,Pengemulsi,473,bpom-btp-71,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Ester poligliserol asam lemak (Polyglycerol,high,btp_regulation,Pengemulsi,475,bpom-btp-72,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
2026-09-15T06:36:25.664905+00:00,Peraturan BPOM Nomor 11 Tahun 2019 tentang Bahan Tambahan Pangan,Ester poligliserol asam risinoleat terinteresterifikasi Polyglycerol esters of,high,btp_regulation,Pengemulsi,476,bpom-btp-73,https://jdih.pom.go.id/download/rule/848/11/2019/Bahan%20Tambahan%20Pangan,extracted from official BPOM regulation Annex I; review OCR/text segmentation before production use
