record_id,barcode,food_name,food_name_id,brand,categories,ingredients_as_label,allergens,labels,origins,countries,packaging,quantity,serving_size,stores,manufacturing_places,energy_kj_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,source_url,source_api_url,accessed_at,source_type,license,verification_status,confidence_level,quality_flags
off-id-3451790188831,3451790188831,Elle & vire desserts lactes mon grec miel,,"Elle & Vire, Elle&Vire International, Savencia",en:dairies | en:fermented-foods | en:desserts | en:fermented-milk-products | en:dairy-desserts | en:fermented-dairy-desserts,"LAIT écrémé de vache, crème (issue de LAIT de vache), eau, sucre, protéines
 de LAIT, miel (2 %), additifs alimentaires : stabilisants : pectine, agar-agar; fécule
 arôme naturel (goût miel)",en:milk | en:Lait,en:made-in-france,en:france,en:belgium | en:cambodia | en:cote-d-ivoire | en:france | en:germany | en:indonesia | en:iraq | en:ireland | en:lebanon | en:luxembourg | en:morocco | en:spain | en:united-arab-emirates | en:united-kingdom | en:world | en:Indonesie,en:pot | en:pot-polymere-et-materiau-composite | fr:opercule-materiau-composite-et-etiquette-papier | fr:pot-plastique,4 x 125 g,125 g,"Carrefour, Toutes enseignes GMS","Normandie, france",599,143,7.5,5.2,14.8,14,0,4.1,0.14,0.056,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-0089686170726,0089686170726,Mi goreng Fried Noodles,Mi Goreng Fried Noodles,indomie,en:plant-based-foods-and-beverages | en:plant-based-foods | en:cereals-and-potatoes | en:cereals-and-their-products | en:dried-products | en:dried-products-to-be-rehydrated | en:pastas | en:noodles | en:instant-noodles | en:asian-foods | en:indonesian-foods,"NOUILLES {Farine de blé (62%), huile de palme raffinée (contient antioxydant (E 319)), sel, régulateurs d'acidité (E 451, E 501, E 500), épaississant (E 412), colorant (E 101)}.
POUDRE D'ASSAISONNEMENT {Sel, sucre, exhausteur de goût (E 621, E 631, E 627), ail, saveur de poulet artificiel (soja), oignon, poivre blanc}.
HUILE D'ASSAISONNEMENT {Huile de palme raffinée (contient antioxydant (E 319)), échalote}.
SAUCE DE SOJA DOUCE {Sucre, eau, blé, soja, sel, épices, huile de sésame}.
SAUCE AU CHILI {Chili, eau, sucre, sel, amidon de tapioca, régulateurs d'acidite (E 260, E 330), exhausteur de goût (E 621, E 631, E 627), saveur d'ail, préservatifs (E 211, E 223)}.
ÉCHALOTE FRITS {Échalote, huile de palme raffinée}. 

CONTIENT: BLÉ, GLUTEN, SOJA, SESAME",en:gluten | en:sesame-seeds | en:soybeans,en:halal,en:indonesia,en:australia | en:france | en:indonesia | en:united-states,en:plastic,85g,1 serving (175 g),"alfamart, carrefour, coles, giant, indomaret, woolworths",indonesia,,,,,,,,,,,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_core_nutrition
off-id-8997240600041,8997240600041,12000992 OATSIDE Oat Milk,,OATSIDE,en:beverages-and-beverages-preparations | en:plant-based-foods-and-beverages | en:beverages | en:plant-based-foods | en:cereals-and-potatoes | en:dairy-substitutes | en:cereals-and-their-products | en:milk-substitutes | en:plant-based-beverages | en:plant-based-milk-alternatives | en:cereal-based-drinks | en:oat-based-drinks,"Oat Base 96.7% (Water, Oats), Canola Oil, Dipotassium Phosphate, Calcium Carbonate, Salt, Vitamin E, B1, B3, B6, B12, Vitamin D",en:gluten,en:halal | en:fsc | en:fsc-mix | en:no-added-sugar,en:thailand,en:indonesia | en:singapore | en:thailand,,1000 ml,200 ml,,,270.9,65,3.2,0.3,7.9,2.8,1,0.6,0.1,0.04,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-3451790011917,3451790011917,Elle & vire desserts lactes mon grec vanille,,"Elle&Vire, Elle&Vire International, Savencia",en:dairies | en:fermented-foods | en:desserts | en:fermented-milk-products | en:dairy-desserts | en:fermented-dairy-desserts,"LAIT écrémé de vache, crème issue de LAIT de vache, eau, sucre, protéines
 de LAIT, additifs alimentaires : stabilisants : pectine, agar-agar ; fécule, arôme
 naturel de vanille",en:milk | en:Lait,,en:france,en:belgium | en:cote-d-ivoire | en:france | en:germany | en:indonesia | en:iraq | en:ireland | en:lebanon | en:luxembourg | en:morocco | en:spain | en:united-kingdom | en:world | en:Emirats Arabes Unis,en:pot-polymere-et-materiau-composite | fr:opercule-materiau-composite-et-etiquette-papier | fr:pot-plastique,500 g (4 x 125 g),125 g,Toutes enseignes GMS,"France, Normandie",550,132,7.5,5.2,11.9,11.1,0,4.1,0.14,0.056,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_labels
off-id-8996001600269,8996001600269,Mountain Mineral Water,Air Mineral Pegunungan,Le Minerale,en:beverages-and-beverages-preparations | en:beverages | en:waters | en:spring-waters | en:mineral-waters | en:natural-mineral-waters | en:drinking-water,RH 30,,en:halal,en:indonesia,en:indonesia | en:philippines,fr:bouteille-pet,600ml,330ml,,Indonesia,0,0,0,0,0,0,,0,0.0151515151515152,0.00606060606060606,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-3451790011856,3451790011856,Elle & vire desserts lactes mon grec fraise,,"Elle & Vire, Elle&Vire International, Savencia",en:dairies | en:fermented-foods | en:desserts | en:fermented-milk-products | en:dairy-desserts | en:fermented-dairy-desserts | en:yogurts | en:fermented-dairy-desserts-with-fruits | en:fruit-yogurts | en:greek-style-yogurts | en:Produit laitier,"Lait écrémé de vache, crème (issue de LAIT de vache), sucre, eau, fraise 5,5%, protéines de LAIT, additifs alimentaires : stabilisant : pectine, agar-agar, fécule, arôme naturel (goût fraise)",en:milk | en:Lait,en:green-dot | en:made-in-france,en:france,en:belgium | en:cote-d-ivoire | en:france | en:germany | en:indonesia | en:iraq | en:ireland | en:lebanon | en:luxembourg | en:morocco | en:senegal | en:spain | en:united-kingdom | en:world | en:Emirats Arabes Unis,en:fresh | en:pot-polymere-et-materiau-composite | fr:opercule-materiau-composite-et-etiquette-papier | fr:pot-plastique,4 x 125 g,125 g,Toutes enseignes GMS,"France, Normandie",587,140,7.5,5.2,14.1,13.7,0,4.1,0.14,0.056,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-3451790886256,3451790886256,Elle & vire desserts lactes fruits myrtille,,"Elle & Vire, Elle&Vire International",en:dairies | en:fermented-foods | en:desserts | en:fermented-milk-products | en:dairy-desserts | en:fermented-dairy-desserts | en:yogurts | en:fermented-dairy-desserts-with-fruits | en:fruit-yogurts | en:Produit laitier,"LAIT écrémé de vache, eau, sucre, myrtille (6%), crème de LAIT de vache,
 fécule, additifs alimentaires : stabilisants : pectine, agar-agar, arôme naturel (goût
 myrtille)",en:milk | en:Lait,en:green-dot | en:made-in-france,en:france,en:belgium | en:cote-d-ivoire | en:france | en:germany | en:indonesia | en:iraq | en:ireland | en:lebanon | en:luxembourg | en:morocco | en:spain | en:united-kingdom | en:world | en:Emirats Arabes Unis,en:pot-polymere-et-materiau-composite | fr:opercule-materiau-composite-et-etiquette-papier | fr:pot-plastique,4 x 125 g,125 g,Toutes enseignes GMS,"France, Normandie",400,95,2.3,1.6,16.3,12.8,0,2.2,0.09,0.036,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-3451790019166,3451790019166,Elle & vire creme dessert chocolat noir intense,,Elle & Vire,en:Produit laitier,"LAIT de vache écrémé 70%, sucre, CRÈME 7%, cacao maigre 4,5%, fécule,
 chocolat 2% (pâte de cacao, sucre, cacao maigre), épaississant : carraghénanes,
 sel.",en:milk | en:Lait,,,en:belgium | en:cote-d-ivoire | en:germany | en:indonesia | en:iraq | en:ireland | en:lebanon | en:luxembourg | en:morocco | en:spain | en:united-kingdom | en:Emirats Arabes Unis,en:pot-pp-et-etiquette-pp,4 x 100 g,100 g,,France,471.3,112,3.3,2.2,15.9,13.3,2,3.7,0.16,0.0637,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_labels
off-id-8852756346053,8852756346053,Corn Flakes,,Kellogg's,en:plant-based-foods-and-beverages | en:plant-based-foods | en:breakfasts | en:cereals-and-potatoes | en:cereals-and-their-products | en:breakfast-cereals | en:flakes | en:cereal-flakes | en:extruded-cereals | en:extruded-flakes | en:corn-flakes,"Corn (90%), Sugar, Malt Extract, lodized Salt, Vitamins & Minerals (Vitamin C, Iron (Reduced Iron, Iron Salt), Vitamin B3, Zinc Oxide, Vitamin A, Vitamin B6, Vitamin B12, Vitamin B2, Vitamin B1, Folic Acid), Antioxidant (Mixed Tocopherol). Allergen Information: Contains gluten and soy. May contain traces of peanuts, tree nuts and milk.",en:gluten | en:soybeans,,en:thailand,en:indonesia | en:malaysia | en:philippines | en:singapore | en:vietnam,,500g,1 serving (30 g),,,1612,385,1,0.3,87,8,2.6,7,1.15,0.46,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_labels
off-id-0753950000254,0753950000254,"Doctor's Best, High Absorption Magnesium, 200 mg",,Doctor's Best,,"microcrystalline cellulose &quot; croscarmellose sodium, magnesium stearate (vegetable source), stearic acid, hypromellose",,,,en:indonesia | en:morocco,,,,,,,,,,,,,,,,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_core_nutrition | missing_labels
off-id-8904071701090,8904071701090,Small Bhakarwadi,,,en:snacks | en:Bhakarwadi,"Wheat Flour, Palm Oil, Gram Flour, Ground Spices, White Sesame, Green Chili, Dry Mango Powder, Turmeric Powder, Tamarind & Salt",en:gluten | en:sesame-seeds,,,en:india | en:indonesia,,170g,,,,,271.42857142857,15.714285714286,7.1428571428571,28.571428571429,4.2857142857143,1.4285714285714,4.2857142857143,0.33928571428573,0.135714285714292,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_brand | missing_labels
off-id-0089686010947,0089686010947,Indomie Mi Goreng Original,Indomie Mi Goreng Original,"Indofood, indomie",en:plant-based-foods-and-beverages | en:plant-based-foods | en:dried-products | en:dried-products-to-be-rehydrated | en:pastas | en:noodles | en:instant-noodles,"NOODLE: Wheat flour, vegetable oil, tapioca starch, acidity regulator (500(i), 501(i)), stabilizer (452(i), 412), antioxidant (319) and colouring (102).
SEASONING POWDER: Sugar, salt, flavor enhancer (621), garlic powder, onion powder, synthetic chicken flavor (contain flavor enhancer (631, 627)), pepper powder.
SEASONING OIL: Vegetable oil and onion.
SWEET SOY SAUCE: Sugar, water, soybean, wheat, salt, sesame oil.
CHILI SAUCE: Chili, water, sugar, salt, thickener, acidity regulator, flavor enhancer (621, 631, 627), synthetic flavor, preservatives (211, 223).
FRIED ONION (contain antioxidant (319)).
CONTAINS: Gluten, egg, dairy, soybean, sulphite, celery and sesame.
May Contain: Peanuts, crustacean, fish, tree nuts and mustard.",en:celery | en:eggs | en:gluten | en:milk | en:sesame-seeds | en:soybeans | en:sulphur-dioxide-and-sulphites,en:halal | en:BPOM | en:SNI,en:indonesia,en:france | en:indonesia,en:pp-bag,85 g,85 g,,Jakarta,2013.52941176471,482.352941176471,20.2352941176471,8.94117647058824,63.8823529411765,6.94117647058824,2.35294117647059,9.41176470588235,2.55588235294118,1.02235294117647,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-8996001600146,8996001600146,Teh Pucuk Harum Jasmine 350 ml,Teh Pucuk Harum Jasmine 350 ml,Mayora,en:beverages-and-beverages-preparations | en:plant-based-foods-and-beverages | en:beverages | en:hot-beverages | en:plant-based-beverages | en:teas | en:tea-based-beverages | en:iced-teas,"Air, Gula, Teh Melati (Daun Teh + Bunga Melati) (0,5%), Perisa Sintetik Bunga Melati, Penstabil",,en:halal | en:no-preservatives | id:drink,,en:indonesia,en:plastic,350 ml,240ml,,,127.5,29.1666666666667,0,0,7.5,7.5,,0,0.00416666666666667,0.00416666666666667,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
off-id-8990044000048,8990044000048,,,Glico,en:snacks | en:sweet-snacks | en:biscuits-and-cakes | en:biscuits-and-crackers | en:biscuits,"Weizenmehl, Zucker, Palmöl (Antioxidationsmittel (E 306)), Vollmilchpulver, Lactose (aus Milch), Verdickungsmittel (E 1412), Inulin, gehärtetes Pflanzenfett (Antioxidationsmittel (E 306)), Weizenvollkornmehl, Malzextrakt (Weizen), Grünteepulver 1%, Aromen, Salz, Emulgator (E 322 (aus Soja)), Backtriebmittel (E 500 (ii)), Hefe. Kann Spuren von Mandeln enthalten. Wartość odżywcza/ Nährwerte Wartość energetyczna/ Energie Tłuszcz/Fett - w tym kwasy tłuszczowe nasycone/",en:gluten | en:milk,en:halal | fr:triman,,en:france | en:indonesia,,33 g,16,action,,2136,510,21.9,21.9,68.8,31.3,6.25,6.25,0.19,0.076,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,missing_product_name
off-id-0089686170795,0089686170795,Indomie Instant Mi Goreng Fried Noodles,,indomie,en:plant-based-foods-and-beverages | en:plant-based-foods | en:dried-products | en:dried-products-to-be-rehydrated | en:pastas | en:noodles | en:instant-noodles,"wheat flour, palm oil, cornstarch, salt, sodium tripolyphosphate, potassium carbonate, sodium carbonate, guar gum, artificial chicken flavor, sugar, hydrolyzed soy protein, garlic powder, onion powder, spices, shallot powder, caramel color, disodium inosinate, disodium guanylate, monosodium glutamate, artificial chicken flavor, soy sauce powder, wheat, soybean, sesame",en:gluten | en:sesame-seeds | en:soybeans,en:halal,en:malaysia,en:canada | en:france | en:indonesia | en:united-states,,425 g (5 x 85 g packages),1 pack (85 g),Real Canadian Superstore,,1944.70588235294,470.588235294118,18.8235294117647,8.23529411764706,62.3529411764706,7.05882352941176,3.52941176470588,9.41176470588235,2.29411764705882,0.964705882352941,https://world.openfoodfacts.org/data,https://world.openfoodfacts.org/api/v2/search,2026-09-15T06:21:10.655304+00:00,community-contributed product label database,Open Database License (ODbL); individual contents under Database Contents License (DbCL),source-recorded; not independently label-verified,medium,
